Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.27)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
Detected UAV: (x1: 363, y1: 785, x2: 455, y2: 831, score: 0.28)
